Symbol,Company,Sector
APZ.AX,Aspen Group,Real Estate
AQC.AX,Australian Pacific Coal Ltd,Materials
AQD.AX,Ausquest Ltd,Materials
AQG.AX,Alacer Gold Corp,Materials
AQI.AX,Alicanto Minerals Ltd,Materials
AQR.AX,Apn Convenience Retail REIT,Real Estate
AQS.AX,AQUIS Entertainment Ltd,Consumer Discretionary
AQX.AX,Alice QUEEN Ltd,Materials
AQZ.AX,Alliance Aviation Services Ltd,Industrials
AR9.AX,Archtis Ltd,Information Technology
ARA.AX,Ariadne Australia Ltd,Industrials
ARB.AX,ARB Corporation Ltd,Consumer Discretionary
ARC.AX,Australian Rural Capital Ltd,Financials
ARD.AX,Argent Minerals Ltd,Materials
ARE.AX,Argonaut Resources NL,Materials
ARF.AX,Arena REIT,Real Estate
ARG.AX,Argo Investments Ltd,
ARL.AX,Ardea Resources Ltd,Materials
ARM.AX,Aurora Minerals Ltd,Materials
ARN.AX,Aldoro Resources Ltd,Materials
ARO.AX,Astro Resources NL,Materials
ARQ.AX,ARQ Group Ltd,Information Technology
ARS.AX,Alt Resources Ltd,Materials
ARU.AX,Arafura Resources Ltd,Materials
ARV.AX,Artemis Resources Ltd,Materials
AS1.AX,Angel Seafood Holdings Ltd,Consumer Staples
ASB.AX,Austal Ltd,Industrials
ASG.AX,Autosports Group Ltd,Consumer Discretionary
ASH.AX,Ashley Services Group Ltd,Industrials
ASIA.AX,Betashares Asia Technology Tigers ETF,
ASN.AX,Anson Resources Ltd,Materials
ASP.AX,Aspermont Ltd,Communication Services
ASQ.AX,Australian Silica Quartz Group Ltd,Materials
AST.AX,Ausnet Services Ltd,Utilities
ASW.AX,Advanced Share Registry Ltd,Financials
ASX.AX,ASX Ltd,Financials
AT1.AX,Atomo Diagnostics Ltd,
ATC.AX,Altech Chemicals Ltd,Materials
ATEC.AX,Betashares S&P/ASX Australian Technology ETF,
ATH.AX,Alterity Therapeutics Ltd,Health Care
ATL.AX,Apollo Tourism & Leisure Ltd,Consumer Discretionary
ATM.AX,Aneka Tambang (Persero) TBK (PT),Materials
ATP.AX,Atlas Pearls Ltd,Consumer Discretionary
ATR.AX,Astron Corporation Ltd,Materials
ATS.AX,Australis Oil & Gas Ltd,Energy
ATU.AX,Atrum Coal Ltd,Materials
ATX.AX,Amplia Therapeutics Ltd,Health Care
AU1.AX,The Agency Group Australia Ltd,Real Estate
AU8.AX,Aumake International Ltd,Consumer Discretionary
AUB.AX,AUB Group Ltd,Financials
AUC.AX,Ausgold Ltd,Materials
AUDS.AX,Betashares Strong Australian Dollar Fund (Hedge Fund),
AUH.AX,Austchina Holdings Ltd,Energy
AUI.AX,Australian United Investment Company Ltd,
AUL.AX,Austar Gold Ltd,Materials
AUMF.AX,Ishares Edge MSCI Australia Multifactor ETF,
AUP.AX,Aurora Property Buy-Write Income Trust,
AUQ.AX,Alara Resources Ltd,Materials
AUR.AX,Auris Minerals Ltd,Materials
AUST.AX,Betashares Managed Risk Australian Share Fund,
AUT.AX,Auteco Minerals Ltd,Materials
AUZ.AX,Australian Mines Ltd,Materials
AV1.AX,Adveritas Ltd,Information Technology
AVA.AX,AVA Risk Group Ltd,Information Technology
AVC.AX,Auctus Alternative Investments Ltd,Financials
AVE.AX,Avecho Biotechnology Ltd,Health Care
AVG.AX,Australian Vintage Ltd,Consumer Staples
AVH.AX,Avita Medical Ltd,Health Care
AVJ.AX,Avjennings Ltd,Real Estate
AVL.AX,Australian Vanadium Ltd,Materials
AVN.AX,Aventus Group,Real Estate
AVQ.AX,Axiom Mining Ltd,Materials
AVW.AX,Avira Resources Ltd,Materials
AVZ.AX,AVZ Minerals Ltd,Materials
AWC.AX,Alumina Ltd,Materials
AWN.AX,Arowana International Ltd,Industrials
AWV.AX,Anova Metals Ltd,Materials
AWY.AX,Australian Whisky Holdings Ltd,Consumer Staples
AX1.AX,Accent Group Ltd,Consumer Discretionary
AX8.AX,Accelerate Resources Ltd,Materials
AXE.AX,Archer Materials Ltd,Materials
AXI.AX,Axiom Properties Ltd,Real Estate
AXT.AX,Argo Exploration Ltd,Materials
AYF.AX,Australian Enhanced Income Fund,
AYI.AX,A1 Investments & Resources Ltd,Financials
AYM.AX,Australia United Mining Ltd,Materials
AYR.AX,Alloy Resources Ltd,Materials
AYS.AX,Amaysim Australia Ltd,
AZI.AX,Alta ZINC Ltd,Materials
AZJ.AX,Aurizon Holdings Ltd,Industrials
AZS.AX,AZURE Minerals Ltd,Materials
AZT.AX,AZURE Health Tech,Information Technology
AZV.AX,AZURE Healthcare Ltd,Health Care
AZY.AX,Antipa Minerals Ltd,Materials
B2Y.AX,Bounty Mining Ltd,Materials
BAF.AX,Blue Sky Alternatives Access Fund Ltd,
BAP.AX,Bapcor Ltd,Consumer Discretionary
BAR.AX,Barra Resources Ltd,Materials
BAS.AX,Bass Oil Ltd,Energy
BAT.AX,Battery Minerals Ltd,Materials
BBC.AX,BNK Banking Corporation Ltd,Financials
BBL.AX,Brisbane Broncos Ltd,Communication Services
BBN.AX,Baby Bunting Group Ltd,Consumer Discretionary
BBOZ.AX,Betashares Australian Equities Strongbearhedgefund,
BBUS.AX,Betashares US EQ Strong Bear Hdge FND-CRNCY Hdged,
BBX.AX,BBX Minerals Ltd,Materials
BC8.AX,Black Cat Syndicate Ltd,Materials
BCB.AX,Bowen Coking Coal Ltd,Materials
BCC.AX,Beam Communications Holdings Ltd,Information Technology
BCI.AX,BCI Minerals Ltd,Materials
BCK.AX,Brockman Mining Ltd,Materials
BCL.AX,Bunji Corporation Ltd,Energy
BCN.AX,Beacon Minerals Ltd,Materials
BCT.AX,Bluechiip Ltd,Information Technology
